,palmOil,controversialWeapons,gambling,socialScore,nuclear,furLeather,alcoholic,gmo,catholic,socialPercentile,peerCount,governanceScore,environmentPercentile,animalTesting,tobacco,totalEsg,highestControversy,esgPerformance,coal,pesticides,adult,percentile,peerGroup,smallArms,environmentScore,governancePercentile,militaryContract,company_ticker
Value,False,False,False,8.51,False,False,False,False,False,0,97,13.85,0,False,False,24.24,1,,False,False,False,39.23,Insurance,False,1.88,0,False,CINF
Value,False,False,False,9.35,False,False,False,False,False,0,28,6.72,0,True,False,22.12,3,,False,False,False,31.27,Household Products,False,6.06,0,False,CL
Value,False,False,False,8.5,False,False,False,False,False,0,28,5.64,0,True,False,21.87,2,,False,False,False,30.36,Household Products,False,7.72,0,False,CLX
Value,False,False,False,12.87,False,False,False,False,False,0,175,12.25,0,False,False,27.12,2,,False,False,False,50.37,Banks,False,2.01,0,False,CMA
Value,False,False,False,12.11,False,False,False,False,False,0,68,8.13,0,False,False,24.8,2,,False,False,False,41.42,Telecommunication Services,False,4.56,0,False,CMCSA
Value,False,False,False,6.21,False,False,False,False,False,0,89,6.24,0,False,False,14.59,1,LAG_PERF,False,False,False,8.89,Diversified Financials,False,2.13,0,False,CME
Value,False,False,False,14.05,False,False,False,False,False,0,45,5.25,0,False,False,24.32,3,,False,False,False,39.54,Consumer Services,False,5.03,0,False,CMG
Value,False,False,False,7.5,False,False,False,False,False,0,54,6.06,0,False,False,19.36,2,LAG_PERF,False,False,False,21.92,Machinery,False,5.8,0,True,CMI
Value,False,False,False,5.78,True,False,False,False,False,0,107,5.43,0,False,False,21.01,2,,True,False,False,27.44,Utilities,False,9.8,0,False,CMS
Value,False,False,False,15.62,False,False,False,False,True,0,58,6.92,0,False,False,22.69,2,,False,False,False,33.39,Healthcare,False,0.14,0,False,CNC
Value,False,False,False,9.56,False,False,False,False,False,0,107,5.42,0,False,False,25.56,2,,True,False,False,44.35,Utilities,False,10.58,0,False,CNP
Value,False,False,False,13.46,False,False,False,False,False,0,89,9.71,0,False,False,23.22,4,,False,False,False,35.37,Diversified Financials,False,0.05,0,False,COF
Value,False,False,False,10.73,False,False,False,False,True,0,58,7.01,0,True,False,20.84,2,,False,False,False,26.93,Healthcare,False,3.1,0,False,COO
Value,False,False,False,9.71,False,False,False,False,False,0,66,7.64,0,False,False,34.87,2,LEAD_PERF,False,False,False,76.88,Oil & Gas Producers,False,17.53,0,False,COP
Value,False,False,False,11.13,False,False,False,False,False,0,35,6.11,0,False,False,23.31,3,,False,False,False,35.7,Food Retailers,False,6.07,0,False,COST
Value,False,False,False,8.02,False,False,False,False,False,0,94,4.74,0,True,False,22.68,2,,False,False,False,33.36,Food Products,False,9.93,0,False,CPB
Value,False,False,False,11.76,False,False,False,False,False,0,32,6.82,0,False,False,22.71,1,,False,False,False,33.47,Commercial Services,False,4.13,0,False,CPRT
Value,False,False,False,6.54,False,False,False,False,False,0,105,4.43,0,False,False,13.31,2,LAG_PERF,False,False,False,6.44,Software & Services,False,2.34,0,False,CRM
Value,False,False,False,5.59,False,False,False,False,False,0,55,6.21,0,False,False,11.83,2,LAG_PERF,False,False,False,4.01,Technology Hardware,False,0.03,0,False,CSCO
Value,False,False,False,9.19,False,False,False,False,False,0,46,3.61,0,False,False,20.25,3,,False,False,False,24.9,Transportation,False,7.45,0,False,CSX
Value,False,False,False,9.61,False,False,False,False,False,0,32,7.26,0,False,False,21.41,2,,False,False,False,28.74,Commercial Services,False,4.54,0,False,CTAS
Value,False,False,False,14.01,False,False,False,False,False,0,66,9.28,0,False,False,46.68,2,,False,False,False,95.73,Oil & Gas Producers,False,23.39,0,False,CTRA
Value,False,False,False,10.43,False,False,False,False,False,0,105,5.92,0,False,False,17.47,2,LAG_PERF,False,False,False,16.17,Software & Services,False,1.11,0,False,CTSH
Value,False,False,False,7.97,False,False,False,False,False,0,105,5.92,0,False,False,14.57,2,LAG_PERF,False,False,False,8.88,Software & Services,False,0.68,0,False,CTXS
Value,False,False,False,16.39,False,False,False,False,False,0,58,6.44,0,False,False,22.86,3,,False,False,False,34.12,Healthcare,False,0.03,0,False,CVS
Value,False,False,False,10.86,False,False,False,False,False,0,66,9.95,0,True,False,43.22,3,,False,False,False,92.23,Oil & Gas Producers,False,22.42,0,False,CVX
Value,False,False,False,8.96,True,False,False,False,False,0,107,6.27,0,False,False,28.24,2,,True,False,False,54.55,Utilities,False,13.01,0,False,D
Value,False,False,False,11.83,False,False,False,False,False,0,46,5.15,0,False,False,26.46,2,,False,False,False,47.89,Transportation,False,9.48,0,False,DAL
Value,False,False,False,8.12,False,False,False,False,False,0,77,7.08,0,True,False,28.64,3,,False,False,False,56.07,Chemicals,False,13.44,0,False,DD
Value,False,False,False,9.4,False,False,False,False,False,0,54,3.7,0,False,False,16.87,2,LAG_PERF,False,False,False,14.53,Machinery,False,3.78,0,False,DE
Value,False,False,False,10.98,False,False,False,False,False,0,89,9.83,0,False,False,20.91,1,,False,False,False,27.15,Diversified Financials,False,0.11,0,False,DFS
Value,False,False,False,8.56,False,False,False,False,False,0,57,5.28,0,False,False,17.11,2,LAG_PERF,False,False,False,15.11,Retailing,False,3.27,0,False,DG
Value,False,False,False,12.67,False,False,False,False,False,0,58,8.1,0,False,False,20.9,3,,False,False,False,27.11,Healthcare,False,0.13,0,False,DGX
Value,False,False,False,7.19,False,False,False,False,False,0,9,6.02,0,False,False,22.55,2,,False,False,False,32.89,Homebuilders,False,9.34,0,False,DHI
Value,False,False,False,9.76,False,False,False,False,True,0,83,6.59,0,True,False,17.73,2,LAG_PERF,False,False,False,17.01,Pharmaceuticals,False,1.38,0,False,DHR
Value,False,False,False,7.1,False,False,False,False,False,0,39,7.24,0,False,False,14.4,2,LAG_PERF,False,False,False,8.61,Media,False,0.07,0,False,DIS
Value,False,False,False,8.83,False,False,False,False,False,0,39,8.4,0,False,False,17.36,1,LAG_PERF,False,False,False,15.83,Media,False,0.13,0,False,DISCA
Value,False,False,False,11.47,False,False,False,False,False,0,39,9.81,0,False,False,22.9,3,,False,False,False,34.29,Media,False,1.62,0,False,DISH
Value,False,False,False,3.7,False,False,False,False,False,0,108,6.1,0,False,False,13.02,0,LAG_PERF,False,False,False,5.82,Real Estate,False,3.23,0,False,DLR
Value,False,False,False,7.41,False,False,False,False,False,0,57,4.27,0,False,False,15.08,2,LAG_PERF,False,False,False,9.88,Retailing,False,3.4,0,False,DLTR
Value,False,False,False,12.38,False,False,False,False,False,0,54,5.59,0,False,False,25.09,1,,False,False,False,42.48,Machinery,False,7.12,0,False,DOV
Value,False,False,False,16.68,False,False,False,False,False,0,45,6.91,0,False,False,31.31,2,LEAD_PERF,False,False,False,65.85,Consumer Services,False,7.72,0,False,DPZ
Value,False,False,False,3.92,False,False,False,False,False,0,108,4.84,0,False,False,13.37,0,LAG_PERF,False,False,False,6.52,Real Estate,False,4.61,0,False,DRE
